regime,round,cluster_id,label,n_agents_with_centroid,within_cluster_distance
latin,6,cluster_2,vorpal,3,0.14681907
latin,7,cluster_1,slithy,3,0.26992383
latin,7,cluster_1,mimsy,3,0.07016899
latin,7,cluster_1,vorpal,3,0.1310061
latin,7,cluster_2,slithy,3,0.07396843
latin,7,cluster_2,mimsy,3,0.0517078
latin,7,cluster_2,vorpal,3,0.13328167
latin,8,cluster_1,slithy,3,0.2330482
latin,8,cluster_1,mimsy,3,0.07016899
latin,8,cluster_1,vorpal,3,0.10502607
latin,8,cluster_2,slithy,3,0.07396843
latin,8,cluster_2,mimsy,3,0.0517078
latin,8,cluster_2,vorpal,3,0.13328167
latin,9,cluster_1,slithy,3,0.2330482
latin,9,cluster_1,mimsy,3,0.07016899
latin,9,cluster_1,vorpal,3,0.10502607
latin,9,cluster_2,slithy,3,0.07396843
latin,9,cluster_2,mimsy,3,0.0517078
latin,9,cluster_2,vorpal,3,0.13328167
latin,10,cluster_1,slithy,3,0.2330482
latin,10,cluster_1,mimsy,3,0.07016899
latin,10,cluster_1,vorpal,3,0.10502607
latin,10,cluster_2,slithy,3,0.07396843
latin,10,cluster_2,mimsy,3,0.04431389
latin,10,cluster_2,vorpal,3,0.13328167
latin,11,cluster_1,slithy,3,0.2330482
latin,11,cluster_1,mimsy,3,0.07016899
latin,11,cluster_1,vorpal,3,0.10502607
latin,11,cluster_2,slithy,3,0.07396843
latin,11,cluster_2,mimsy,3,0.04431389
latin,11,cluster_2,vorpal,3,0.13328167
latin,12,cluster_1,slithy,3,0.2330482
latin,12,cluster_1,mimsy,3,0.07016899
latin,12,cluster_1,vorpal,3,0.10502607
latin,12,cluster_2,slithy,3,0.07396843
latin,12,cluster_2,mimsy,3,0.03963081
latin,12,cluster_2,vorpal,3,0.13328167
latin,13,cluster_1,slithy,3,0.2330482
latin,13,cluster_1,mimsy,3,0.07016899
latin,13,cluster_1,vorpal,3,0.10502607
latin,13,cluster_2,slithy,3,0.07396843
latin,13,cluster_2,mimsy,3,0.03963081
latin,13,cluster_2,vorpal,3,0.13328167
latin,14,cluster_1,slithy,3,0.2330482
latin,14,cluster_1,mimsy,3,0.07016899
latin,14,cluster_1,vorpal,3,0.10502607
latin,14,cluster_2,slithy,3,0.06222492
latin,14,cluster_2,mimsy,3,0.03963081
latin,14,cluster_2,vorpal,3,0.13328167
latin,15,cluster_1,slithy,3,0.2330482
latin,15,cluster_1,mimsy,3,0.07016899
latin,15,cluster_1,vorpal,3,0.10502607
latin,15,cluster_2,slithy,3,0.06222492
latin,15,cluster_2,mimsy,3,0.03963081
latin,15,cluster_2,vorpal,3,0.13328167
latin,16,cluster_1,slithy,3,0.2330482
latin,16,cluster_1,mimsy,3,0.07016899
latin,16,cluster_1,vorpal,3,0.10502607
latin,16,cluster_2,slithy,3,0.06222492
latin,16,cluster_2,mimsy,3,0.03963081
latin,16,cluster_2,vorpal,3,0.13328167
latin,17,cluster_1,slithy,3,0.2330482
latin,17,cluster_1,mimsy,3,0.07016899
latin,17,cluster_1,vorpal,3,0.10502607
latin,17,cluster_2,slithy,3,0.06222492
latin,17,cluster_2,mimsy,3,0.03963081
latin,17,cluster_2,vorpal,3,0.12062023
latin,18,cluster_1,slithy,3,0.2330482
latin,18,cluster_1,mimsy,3,0.07016899
latin,18,cluster_1,vorpal,3,0.10502607
latin,18,cluster_2,slithy,3,0.06222492
latin,18,cluster_2,mimsy,3,0.03963081
latin,18,cluster_2,vorpal,3,0.10302923
latin,19,cluster_1,slithy,3,0.2330482
latin,19,cluster_1,mimsy,3,0.07016899
latin,19,cluster_1,vorpal,3,0.10502607
latin,19,cluster_2,slithy,3,0.06222492
latin,19,cluster_2,mimsy,3,0.03963081
latin,19,cluster_2,vorpal,3,0.10302923
latin,20,cluster_1,slithy,3,0.2330482
latin,20,cluster_1,mimsy,3,0.07016899
latin,20,cluster_1,vorpal,3,0.10502607
latin,20,cluster_2,slithy,3,0.06222492
latin,20,cluster_2,mimsy,3,0.03963081
latin,20,cluster_2,vorpal,3,0.10302923
latin,21,cluster_1,slithy,3,0.2330482
latin,21,cluster_1,mimsy,3,0.07349112
latin,21,cluster_1,vorpal,3,0.10502607
latin,21,cluster_2,slithy,3,0.06222492
latin,21,cluster_2,mimsy,3,0.03963081
latin,21,cluster_2,vorpal,3,0.10302923
latin,22,cluster_1,slithy,3,0.2330482
latin,22,cluster_1,mimsy,3,0.07349112
latin,22,cluster_1,vorpal,3,0.10502607
latin,22,cluster_2,slithy,3,0.06222492
latin,22,cluster_2,mimsy,3,0.03963081
latin,22,cluster_2,vorpal,3,0.10302923
latin,23,cluster_1,slithy,3,0.2330482
latin,23,cluster_1,mimsy,3,0.07349112
latin,23,cluster_1,vorpal,3,0.10502607
latin,23,cluster_2,slithy,3,0.06222492
latin,23,cluster_2,mimsy,3,0.03963081
latin,23,cluster_2,vorpal,3,0.07413928
latin,24,cluster_1,slithy,3,0.2330482
latin,24,cluster_1,mimsy,3,0.07349112
latin,24,cluster_1,vorpal,3,0.10502607
latin,24,cluster_2,slithy,3,0.06222492
latin,24,cluster_2,mimsy,3,0.03963081
latin,24,cluster_2,vorpal,3,0.06349504
latin,25,cluster_1,slithy,3,0.20731044
latin,25,cluster_1,mimsy,3,0.07349112
latin,25,cluster_1,vorpal,3,0.08632493
latin,25,cluster_2,slithy,3,0.06222492
latin,25,cluster_2,mimsy,3,0.03963081
latin,25,cluster_2,vorpal,3,0.06056994
