pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
172,aquarium_fish,skunk,fish,medium_mammals,False,0.707749,0.428571,Q1
173,aquarium_fish,skyscraper,fish,large_man_made_outdoor_things,False,0.833509,0.578947,Q3
174,aquarium_fish,snail,fish,non_insect_invertebrates,False,0.631,0.363636,Q1
175,aquarium_fish,snake,fish,reptiles,False,0.734507,0.217391,Q3
176,aquarium_fish,spider,fish,non_insect_invertebrates,False,0.701633,0.363636,Q1
177,aquarium_fish,squirrel,fish,small_mammals,False,0.602887,0.25,Q1
178,aquarium_fish,streetcar,fish,vehicles_2,False,0.829919,0.619048,Q2
179,aquarium_fish,sunflower,fish,flowers,False,0.780317,0.478261,Q3
180,aquarium_fish,sweet_pepper,fish,fruit_and_vegetables,False,0.784968,0.809524,Q2
181,aquarium_fish,table,fish,household_furniture,False,0.795145,0.882353,Q2
182,aquarium_fish,tank,fish,vehicles_2,False,0.811789,0.619048,Q2
183,aquarium_fish,telephone,fish,household_electrical_devices,False,0.857026,0.6,Q3
184,aquarium_fish,television,fish,household_electrical_devices,False,0.806654,0.619048,Q2
185,aquarium_fish,tiger,fish,large_carnivores,False,0.704447,0.368421,Q1
186,aquarium_fish,tractor,fish,vehicles_2,False,0.815275,0.619048,Q2
187,aquarium_fish,train,fish,vehicles_1,False,0.760843,0.6,Q3
188,aquarium_fish,trout,fish,fish,True,0.278312,0.777778,Q4
189,aquarium_fish,tulip,fish,flowers,False,0.681856,0.454545,Q1
190,aquarium_fish,turtle,fish,reptiles,False,0.524273,0.619048,Q4
191,aquarium_fish,wardrobe,fish,household_furniture,False,0.845656,0.6,Q3
192,aquarium_fish,whale,fish,aquatic_mammals,False,0.696596,0.4,Q1
193,aquarium_fish,willow_tree,fish,trees,False,0.771351,0.454545,Q3
194,aquarium_fish,wolf,fish,large_carnivores,False,0.768571,0.28,Q3
195,aquarium_fish,woman,fish,people,False,0.777683,0.4,Q3
196,aquarium_fish,worm,fish,non_insect_invertebrates,False,0.731745,0.3,Q3
197,baby,bear,people,large_carnivores,False,0.650832,0.5,Q1
198,baby,beaver,people,aquatic_mammals,False,0.640302,0.777778,Q4
