space,condition,label,round,d_00_01,d_00_02,d_01_02,mean_pairwise_distance
raw,random,slithy,4,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,5,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,6,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,7,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,8,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,9,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,10,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,11,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,12,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,13,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,14,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,15,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,16,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,17,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,18,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,19,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,20,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,21,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,22,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,23,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,24,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,25,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,vorpal,1,0.02011293,0.01874179,0.01587027,0.01824166
raw,random,vorpal,2,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,3,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,4,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,5,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,6,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,7,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,8,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,9,0.01809019,0.01717216,0.01504564,0.01676933
raw,random,vorpal,10,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,11,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,12,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,13,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,14,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,15,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,16,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,17,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,18,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,19,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,20,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,21,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,22,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,23,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,24,0.01456302,0.01398587,0.01504564,0.01453151
raw,random,vorpal,25,0.01456302,0.01398587,0.01504564,0.01453151
