sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,c1_accuracy,c1_ci_low,c1_ci_high,mean_margin
30,bottle,crocodile,lion,dolphin,Q2,0.751279,0.636364,centroid,0.852,0.8382,0.8671,0.331
30,bottle,crocodile,lion,dolphin,Q2,0.751279,0.636364,exemplar_knn_k3,0.8462,0.8342,0.8598,1.1877
30,bottle,crocodile,lion,dolphin,Q2,0.751279,0.636364,logreg,0.866,0.8464,0.8867,0.6636
30,bottle,crocodile,lion,dolphin,Q2,0.751279,0.636364,random,0.3293,0.3151,0.3438,1.2164
31,chair,maple_tree,forest,cockroach,Q2,0.773469,0.777778,centroid,0.8371,0.8236,0.8524,0.3682
31,chair,maple_tree,forest,cockroach,Q2,0.773469,0.777778,exemplar_knn_k3,0.8253,0.8078,0.8418,1.3426
31,chair,maple_tree,forest,cockroach,Q2,0.773469,0.777778,logreg,0.822,0.8091,0.836,0.7581
31,chair,maple_tree,forest,cockroach,Q2,0.773469,0.777778,random,0.3269,0.3133,0.3409,1.1982
32,chimpanzee,skyscraper,orchid,otter,Q2,0.762193,0.666667,centroid,0.8158,0.8082,0.8244,0.2581
32,chimpanzee,skyscraper,orchid,otter,Q2,0.762193,0.666667,exemplar_knn_k3,0.8173,0.8096,0.8258,0.9342
32,chimpanzee,skyscraper,orchid,otter,Q2,0.762193,0.666667,logreg,0.8084,0.8018,0.8149,0.537
32,chimpanzee,skyscraper,orchid,otter,Q2,0.762193,0.666667,random,0.3224,0.308,0.3373,1.2374
33,chimpanzee,wardrobe,oak_tree,flatfish,Q2,0.807476,0.68,centroid,0.8109,0.8064,0.8149,0.3009
33,chimpanzee,wardrobe,oak_tree,flatfish,Q2,0.807476,0.68,exemplar_knn_k3,0.7949,0.7882,0.8013,1.2062
33,chimpanzee,wardrobe,oak_tree,flatfish,Q2,0.807476,0.68,logreg,0.8167,0.8118,0.8227,0.6449
33,chimpanzee,wardrobe,oak_tree,flatfish,Q2,0.807476,0.68,random,0.3371,0.3227,0.3518,1.2144
34,clock,forest,ray,pine_tree,Q2,0.806727,0.882353,centroid,0.7958,0.7793,0.8073,0.2852
34,clock,forest,ray,pine_tree,Q2,0.806727,0.882353,exemplar_knn_k3,0.7893,0.7713,0.8024,1.1939
34,clock,forest,ray,pine_tree,Q2,0.806727,0.882353,logreg,0.7902,0.77,0.8069,0.5984
34,clock,forest,ray,pine_tree,Q2,0.806727,0.882353,random,0.3309,0.3191,0.3431,1.2214
35,cloud,rose,raccoon,skunk,Q2,0.759335,0.777778,centroid,0.8462,0.8249,0.8662,0.202
35,cloud,rose,raccoon,skunk,Q2,0.759335,0.777778,exemplar_knn_k3,0.8227,0.8051,0.8393,1.0265
35,cloud,rose,raccoon,skunk,Q2,0.759335,0.777778,logreg,0.8573,0.8344,0.88,0.4574
35,cloud,rose,raccoon,skunk,Q2,0.759335,0.777778,random,0.3456,0.3298,0.36,1.1995
36,crab,maple_tree,cup,pear,Q2,0.721649,0.8,centroid,0.8687,0.8518,0.8862,0.283
36,crab,maple_tree,cup,pear,Q2,0.721649,0.8,exemplar_knn_k3,0.8711,0.8576,0.8853,1.0598
36,crab,maple_tree,cup,pear,Q2,0.721649,0.8,logreg,0.8449,0.8262,0.8653,0.573
36,crab,maple_tree,cup,pear,Q2,0.721649,0.8,random,0.3376,0.3233,0.352,1.2052
37,crab,pickup_truck,pine_tree,whale,Q2,0.745085,0.652174,centroid,0.8369,0.8267,0.8478,0.3017
37,crab,pickup_truck,pine_tree,whale,Q2,0.745085,0.652174,exemplar_knn_k3,0.8282,0.8209,0.836,1.1759
37,crab,pickup_truck,pine_tree,whale,Q2,0.745085,0.652174,logreg,0.8467,0.8324,0.8627,0.617
37,crab,pickup_truck,pine_tree,whale,Q2,0.745085,0.652174,random,0.3213,0.3078,0.3344,1.2094
38,crocodile,cup,beaver,porcupine,Q2,0.747225,0.619048,centroid,0.7133,0.6953,0.7291,0.1198
38,crocodile,cup,beaver,porcupine,Q2,0.747225,0.619048,exemplar_knn_k3,0.6704,0.6513,0.6896,0.658
38,crocodile,cup,beaver,porcupine,Q2,0.747225,0.619048,logreg,0.7189,0.7002,0.7358,0.2741
38,crocodile,cup,beaver,porcupine,Q2,0.747225,0.619048,random,0.3316,0.3156,0.3471,1.2136
39,cup,wolf,snail,couch,Q2,0.806575,0.636364,centroid,0.8276,0.8209,0.8344,0.3054
39,cup,wolf,snail,couch,Q2,0.806575,0.636364,exemplar_knn_k3,0.8287,0.8204,0.8376,1.0822
39,cup,wolf,snail,couch,Q2,0.806575,0.636364,logreg,0.8313,0.8196,0.8449,0.613
39,cup,wolf,snail,couch,Q2,0.806575,0.636364,random,0.3429,0.3309,0.3553,1.2298
40,forest,telephone,boy,otter,Q2,0.835355,0.866667,centroid,0.8058,0.796,0.8151,0.2025
40,forest,telephone,boy,otter,Q2,0.835355,0.866667,exemplar_knn_k3,0.7898,0.7767,0.8022,0.8701
40,forest,telephone,boy,otter,Q2,0.835355,0.866667,logreg,0.8027,0.7929,0.8131,0.4352
40,forest,telephone,boy,otter,Q2,0.835355,0.866667,random,0.324,0.3124,0.3356,1.235
41,lion,turtle,beetle,squirrel,Q2,0.716742,0.68,centroid,0.7838,0.7738,0.7936,0.2089
41,lion,turtle,beetle,squirrel,Q2,0.716742,0.68,exemplar_knn_k3,0.7758,0.7638,0.7864,0.8948
41,lion,turtle,beetle,squirrel,Q2,0.716742,0.68,logreg,0.7764,0.7689,0.784,0.4584
41,lion,turtle,beetle,squirrel,Q2,0.716742,0.68,random,0.334,0.3191,0.348,1.2416
42,mouse,palm_tree,keyboard,lion,Q2,0.774515,0.8,centroid,0.8484,0.8387,0.8589,0.3275
42,mouse,palm_tree,keyboard,lion,Q2,0.774515,0.8,exemplar_knn_k3,0.8518,0.8413,0.8633,1.1878
42,mouse,palm_tree,keyboard,lion,Q2,0.774515,0.8,logreg,0.8589,0.8438,0.8749,0.6675
42,mouse,palm_tree,keyboard,lion,Q2,0.774515,0.8,random,0.3296,0.3153,0.3451,1.2342
43,mouse,streetcar,possum,oak_tree,Q2,0.745843,0.652174,centroid,0.7576,0.7413,0.774,0.2864
43,mouse,streetcar,possum,oak_tree,Q2,0.745843,0.652174,exemplar_knn_k3,0.744,0.7244,0.7633,1.2635
43,mouse,streetcar,possum,oak_tree,Q2,0.745843,0.652174,logreg,0.7707,0.7558,0.7853,0.6098
43,mouse,streetcar,possum,oak_tree,Q2,0.745843,0.652174,random,0.3287,0.312,0.3451,1.2115
44,oak_tree,orange,raccoon,plain,Q2,0.821873,0.647059,centroid,0.8276,0.8122,0.8429,0.2741
44,oak_tree,orange,raccoon,plain,Q2,0.821873,0.647059,exemplar_knn_k3,0.8191,0.8029,0.8356,1.2027
44,oak_tree,orange,raccoon,plain,Q2,0.821873,0.647059,logreg,0.7991,0.7911,0.806,0.6306
44,oak_tree,orange,raccoon,plain,Q2,0.821873,0.647059,random,0.3524,0.3358,0.3684,1.2121
45,orange,porcupine,dinosaur,lawn_mower,Q2,0.885331,0.68,centroid,0.8322,0.8249,0.8404,0.3413
45,orange,porcupine,dinosaur,lawn_mower,Q2,0.885331,0.68,exemplar_knn_k3,0.8311,0.8213,0.8427,1.1864
45,orange,porcupine,dinosaur,lawn_mower,Q2,0.885331,0.68,logreg,0.8429,0.8289,0.8591,0.6743
45,orange,porcupine,dinosaur,lawn_mower,Q2,0.885331,0.68,random,0.3431,0.33,0.3571,1.2354
46,orchid,sea,fox,pine_tree,Q2,0.861732,0.764706,centroid,0.8211,0.8144,0.8284,0.3217
46,orchid,sea,fox,pine_tree,Q2,0.861732,0.764706,exemplar_knn_k3,0.8113,0.8056,0.8169,1.247
46,orchid,sea,fox,pine_tree,Q2,0.861732,0.764706,logreg,0.8196,0.8111,0.8298,0.6645
46,orchid,sea,fox,pine_tree,Q2,0.861732,0.764706,random,0.3409,0.3276,0.3538,1.2229
47,ray,sweet_pepper,tulip,forest,Q2,0.764475,0.888889,centroid,0.8402,0.8318,0.8489,0.3037
47,ray,sweet_pepper,tulip,forest,Q2,0.764475,0.888889,exemplar_knn_k3,0.8413,0.832,0.8513,1.0951
47,ray,sweet_pepper,tulip,forest,Q2,0.764475,0.888889,logreg,0.824,0.8164,0.8322,0.6207
47,ray,sweet_pepper,tulip,forest,Q2,0.764475,0.888889,random,0.3427,0.3298,0.3562,1.2267
48,rose,sea,worm,house,Q2,0.79536,0.75,centroid,0.8229,0.8178,0.8289,0.3137
48,rose,sea,worm,house,Q2,0.79536,0.75,exemplar_knn_k3,0.8216,0.8153,0.8284,1.1515
48,rose,sea,worm,house,Q2,0.79536,0.75,logreg,0.8204,0.8158,0.8251,0.6438
48,rose,sea,worm,house,Q2,0.79536,0.75,random,0.338,0.3242,0.3513,1.193
49,squirrel,telephone,seal,lizard,Q2,0.764119,0.636364,centroid,0.7447,0.7313,0.7573,0.1599
49,squirrel,telephone,seal,lizard,Q2,0.764119,0.636364,exemplar_knn_k3,0.7264,0.7091,0.7427,0.7085
49,squirrel,telephone,seal,lizard,Q2,0.764119,0.636364,logreg,0.7431,0.7304,0.7553,0.3482
49,squirrel,telephone,seal,lizard,Q2,0.764119,0.636364,random,0.3404,0.3296,0.3529,1.2429
50,apple,cup,crocodile,keyboard,Q3,0.716807,0.578947,centroid,0.9262,0.9138,0.9387,0.323
50,apple,cup,crocodile,keyboard,Q3,0.716807,0.578947,exemplar_knn_k3,0.9358,0.9238,0.9471,1.0925
