sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,episode_id,c1,margin
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,8,0.3133,1.3679
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,9,0.9867,0.4195
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,9,0.9867,1.3611
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,9,0.94,0.8241
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,9,0.34,1.2313
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,10,0.9467,0.4174
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,10,0.9467,1.4468
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,10,0.8933,0.807
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,10,0.3067,1.1505
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,11,0.9733,0.4223
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,11,0.9667,1.2916
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,11,0.9667,0.8097
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,11,0.38,1.316
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,12,0.9933,0.4167
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,12,0.9933,1.3962
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,12,0.9533,0.8215
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,12,0.34,1.3575
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,13,0.9867,0.4016
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,13,0.9933,1.322
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,13,0.98,0.7777
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,13,0.3533,1.3935
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,14,0.9933,0.4274
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,14,0.9933,1.3617
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,14,0.9467,0.8228
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,14,0.34,1.0989
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,15,0.9667,0.4034
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,15,0.9733,1.3481
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,15,0.9667,0.77
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,15,0.32,1.0892
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,16,0.9867,0.3826
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,16,0.9933,1.2957
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,16,0.9933,0.7671
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,16,0.3333,1.2428
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,17,0.9533,0.4062
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,17,0.9533,1.2762
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,17,0.98,0.7871
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,17,0.32,1.2764
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,18,0.98,0.4155
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,18,0.9867,1.3384
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,18,0.9333,0.8295
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,18,0.3533,1.3233
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,19,0.98,0.4068
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,19,0.9867,1.3267
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,19,0.96,0.8053
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,19,0.34,1.2461
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,20,0.9867,0.4027
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,20,0.9867,1.2544
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,20,1.0,0.7806
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,20,0.3267,1.2828
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,21,0.9667,0.4468
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,21,0.9733,1.4578
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,21,0.9533,0.8849
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,21,0.3333,1.1373
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,22,0.98,0.4081
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,22,0.98,1.2946
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,22,0.9933,0.7858
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,22,0.3067,1.356
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,23,0.92,0.4325
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,23,0.9,1.2898
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,23,0.9467,0.822
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,23,0.3533,1.2601
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,24,0.98,0.4208
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,24,0.9867,1.2751
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,24,0.9933,0.8067
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,24,0.34,1.2964
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,25,0.9867,0.409
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,25,0.9867,1.3441
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,25,0.98,0.7701
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,25,0.3733,1.1994
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,26,0.9733,0.3981
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,26,0.9733,1.2186
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,26,0.9933,0.7923
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,26,0.3333,1.2944
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,27,0.88,0.4079
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,27,0.8867,1.2541
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,27,0.88,0.7545
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,27,0.32,1.0274
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,28,0.9933,0.3814
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,28,0.9867,1.2433
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,28,0.9867,0.7519
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,28,0.4133,1.28
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,29,0.98,0.416
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,29,0.98,1.3141
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,29,0.9733,0.8142
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,29,0.2933,1.2002
