experiment_id,round,agent_id,label,cohesion,vector_norm,shift_from_previous,distance_to_initial,n_points
exp_003b,30,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,30,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,30,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,30,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,30,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,30,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,30,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,30,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,31,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,31,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,31,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,31,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,31,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,31,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,31,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,31,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,31,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,32,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,32,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,32,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,32,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,32,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,32,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,32,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,32,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,32,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,33,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,33,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,33,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,33,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,33,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,33,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,33,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,33,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,33,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,34,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,34,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,34,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,34,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,34,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,34,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,34,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,34,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,34,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,35,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,35,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,35,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,35,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,35,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,35,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,35,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,35,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,35,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,36,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,36,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,36,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,36,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,36,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,36,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,36,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,36,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,36,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,37,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,37,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,37,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,37,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,37,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,37,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,37,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,37,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,37,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,38,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,38,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,38,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,38,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,38,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,38,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,38,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,38,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,38,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,39,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,39,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,39,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,39,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
