tier,learner,ways,shots,pool_type,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high
far,random,3,20,std_nway,30,0.3333,0.3376,0.3207,0.3547,0.32,0.2967,0.3445,1.2084,1.1835,1.2356
far,random,3,3,std_nway,30,0.3333,0.3247,0.3111,0.3355,0.3239,0.3006,0.3461,1.2125,1.1728,1.2508
far,random,3,5,std_nway,30,0.3333,0.336,0.3227,0.3489,0.32,0.2978,0.3439,1.2208,1.1837,1.2567
far,random,5,1,std_nway,30,0.2,0.2028,0.1937,0.2125,0.204,0.1883,0.2197,1.1093,1.0839,1.1348
far,random,5,10,std_nway,30,0.2,0.2001,0.1911,0.2097,0.209,0.1963,0.2234,1.1137,1.09,1.1381
far,random,5,20,std_nway,30,0.2,0.2041,0.1953,0.2136,0.199,0.1837,0.2147,1.1062,1.0749,1.1379
far,random,5,3,std_nway,30,0.2,0.1988,0.1891,0.2076,0.205,0.1863,0.2247,1.1011,1.0725,1.1289
far,random,5,5,std_nway,30,0.2,0.1957,0.1867,0.2048,0.1877,0.1727,0.2043,1.095,1.0753,1.1143
mid,centroid,3,1,hard,30,0.3333,0.6031,0.5807,0.6267,0.2428,0.2117,0.2717,0.1226,0.1153,0.1296
mid,centroid,3,1,large,30,0.3333,0.6031,0.5807,0.6267,0.3467,0.3155,0.3794,0.1226,0.1153,0.1296
mid,centroid,3,1,medium,30,0.3333,0.6031,0.5807,0.6267,0.4278,0.3944,0.4611,0.1226,0.1153,0.1296
mid,centroid,3,1,oov_25,30,0.3333,0.6031,0.5807,0.6267,0.4261,0.3972,0.4572,0.1226,0.1153,0.1296
mid,centroid,3,1,oov_50,30,0.3333,0.6031,0.5807,0.6267,0.4089,0.3744,0.4417,0.1226,0.1153,0.1296
mid,centroid,3,1,small,30,0.3333,0.6031,0.5807,0.6267,0.5228,0.4939,0.555,0.1226,0.1153,0.1296
mid,centroid,3,10,hard,30,0.3333,0.6444,0.63,0.6584,0.25,0.2194,0.2778,0.1451,0.1382,0.1515
mid,centroid,3,10,large,30,0.3333,0.6444,0.63,0.6584,0.3772,0.3483,0.4039,0.1451,0.1382,0.1515
mid,centroid,3,10,medium,30,0.3333,0.6444,0.63,0.6584,0.4622,0.4317,0.49,0.1451,0.1382,0.1515
mid,centroid,3,10,oov_25,30,0.3333,0.6444,0.63,0.6584,0.4311,0.4022,0.4572,0.1451,0.1382,0.1515
mid,centroid,3,10,oov_50,30,0.3333,0.6444,0.63,0.6584,0.4117,0.3856,0.4344,0.1451,0.1382,0.1515
mid,centroid,3,10,small,30,0.3333,0.6444,0.63,0.6584,0.5506,0.5289,0.5711,0.1451,0.1382,0.1515
mid,centroid,3,20,hard,30,0.3333,0.5718,0.5573,0.5853,0.2067,0.1822,0.2306,0.1316,0.1262,0.1374
mid,centroid,3,20,large,30,0.3333,0.5718,0.5573,0.5853,0.3283,0.3061,0.3506,0.1316,0.1262,0.1374
mid,centroid,3,20,medium,30,0.3333,0.5718,0.5573,0.5853,0.4122,0.3956,0.4289,0.1316,0.1262,0.1374
mid,centroid,3,20,oov_25,30,0.3333,0.5718,0.5573,0.5853,0.3739,0.3555,0.3922,0.1316,0.1262,0.1374
mid,centroid,3,20,oov_50,30,0.3333,0.5718,0.5573,0.5853,0.3556,0.335,0.3761,0.1316,0.1262,0.1374
mid,centroid,3,20,small,30,0.3333,0.5718,0.5573,0.5853,0.5056,0.4844,0.5256,0.1316,0.1262,0.1374
mid,centroid,3,3,hard,30,0.3333,0.6529,0.6327,0.6729,0.2517,0.2178,0.2844,0.1379,0.1317,0.1446
mid,centroid,3,3,large,30,0.3333,0.6529,0.6327,0.6729,0.39,0.3561,0.4228,0.1379,0.1317,0.1446
mid,centroid,3,3,medium,30,0.3333,0.6529,0.6327,0.6729,0.4622,0.4267,0.4967,0.1379,0.1317,0.1446
mid,centroid,3,3,oov_25,30,0.3333,0.6529,0.6327,0.6729,0.4478,0.42,0.475,0.1379,0.1317,0.1446
mid,centroid,3,3,oov_50,30,0.3333,0.6529,0.6327,0.6729,0.4344,0.3978,0.4678,0.1379,0.1317,0.1446
mid,centroid,3,3,small,30,0.3333,0.6529,0.6327,0.6729,0.5389,0.5072,0.5684,0.1379,0.1317,0.1446
mid,centroid,3,5,hard,30,0.3333,0.6542,0.6364,0.6722,0.2744,0.2439,0.3039,0.1457,0.139,0.1526
mid,centroid,3,5,large,30,0.3333,0.6542,0.6364,0.6722,0.4072,0.3756,0.44,0.1457,0.139,0.1526
mid,centroid,3,5,medium,30,0.3333,0.6542,0.6364,0.6722,0.4711,0.4444,0.4995,0.1457,0.139,0.1526
mid,centroid,3,5,oov_25,30,0.3333,0.6542,0.6364,0.6722,0.4589,0.4266,0.4878,0.1457,0.139,0.1526
mid,centroid,3,5,oov_50,30,0.3333,0.6542,0.6364,0.6722,0.4378,0.4078,0.4678,0.1457,0.139,0.1526
mid,centroid,3,5,small,30,0.3333,0.6542,0.6364,0.6722,0.5728,0.545,0.6011,0.1457,0.139,0.1526
mid,exemplar_knn_k1,3,1,hard,30,0.3333,0.6031,0.5807,0.6267,0.2583,0.2283,0.2844,0.246,0.237,0.2542
mid,exemplar_knn_k1,3,1,large,30,0.3333,0.6031,0.5807,0.6267,0.3717,0.3422,0.4028,0.246,0.237,0.2542
mid,exemplar_knn_k1,3,1,medium,30,0.3333,0.6031,0.5807,0.6267,0.4533,0.4189,0.4867,0.246,0.237,0.2542
mid,exemplar_knn_k1,3,1,oov_25,30,0.3333,0.6031,0.5807,0.6267,0.4294,0.3994,0.4606,0.246,0.237,0.2542
mid,exemplar_knn_k1,3,1,oov_50,30,0.3333,0.6031,0.5807,0.6267,0.4106,0.3806,0.4378,0.246,0.237,0.2542
mid,exemplar_knn_k1,3,1,small,30,0.3333,0.6031,0.5807,0.6267,0.5478,0.5156,0.5806,0.246,0.237,0.2542
mid,exemplar_knn_k1,3,10,hard,30,0.3333,0.6524,0.6364,0.6691,0.2994,0.2705,0.3278,0.3663,0.3613,0.3711
mid,exemplar_knn_k1,3,10,large,30,0.3333,0.6524,0.6364,0.6691,0.4661,0.4361,0.4961,0.3663,0.3613,0.3711
mid,exemplar_knn_k1,3,10,medium,30,0.3333,0.6524,0.6364,0.6691,0.5311,0.5022,0.5583,0.3663,0.3613,0.3711
mid,exemplar_knn_k1,3,10,oov_25,30,0.3333,0.6524,0.6364,0.6691,0.4722,0.4405,0.5011,0.3663,0.3613,0.3711
mid,exemplar_knn_k1,3,10,oov_50,30,0.3333,0.6524,0.6364,0.6691,0.4367,0.405,0.4667,0.3663,0.3613,0.3711
mid,exemplar_knn_k1,3,10,small,30,0.3333,0.6524,0.6364,0.6691,0.6089,0.5817,0.635,0.3663,0.3613,0.3711
mid,exemplar_knn_k1,3,20,hard,30,0.3333,0.5949,0.5767,0.6125,0.2522,0.225,0.2778,0.3789,0.3741,0.3835
mid,exemplar_knn_k1,3,20,large,30,0.3333,0.5949,0.5767,0.6125,0.3967,0.3739,0.4189,0.3789,0.3741,0.3835
